date	likes	retweets	text	username
Wed May 23 18:11:56 +0000 2018	1	1	Congratulations @AmyMcGrathKY	AnthonyBrownMD4
Wed May 23 01:02:19 +0000 2018	11	6	Let’s bring it home in November! https://t.co/2a41xsFl5k	AnthonyBrownMD4
Thu May 03 17:37:04 +0000 2018	2	1	@KFILE I've had the privilege of serving w some of the most patriotic men &amp; women whose commitment to our country is above partisanship. @KevinMNicholson's statement is politics at its worst. #WISen	AnthonyBrownMD4
Sat Apr 14 12:29:37 +0000 2018	10	3	Mission Accomplished?  Not so easy Mr. President.  Your mission is incomplete, until you develop a long-term strategy and come to Congress for the authority to use whatever force you need to implement that strategy! https://t.co/UL77Y6V91Y	AnthonyBrownMD4
Sat Mar 31 01:23:24 +0000 2018	16	6	Sound very Trumpesque. Seems like @GovLarryHogan is picking up the @realDonaldTrump playbook. Cryptic language intended to scare voters. You can do better than that Mr. Governor. https://t.co/mdfiwUMmCn	AnthonyBrownMD4
Fri Jun 15 17:38:43 +0000 2018	0	1	Yesterday I introduced the Commodity Futures Trading Commission Research &amp; Development Modernization Act (H.R.6121) to better equip @CFTC w/ the tools it needs to maintain fairness &amp; transparency in our commodity trading markets in the 21st century . More: https://t.co/SjBY5Kpie9	AustinScottGA08
Fri Jun 15 13:13:12 +0000 2018	0	5	RT @AustinScottGA08: We've launched the #GA08 2018 Congressional App Challenge. All eligible middle and high school students are encouraged…	AustinScottGA08
Thu Jun 14 17:50:54 +0000 2018	0	2776	RT @WhiteHouse: Happy birthday, United States Army, and thank you to the brave men and women who serve our country. https://t.co/Q83RHqqzTg	AustinScottGA08
Thu Jun 14 15:31:23 +0000 2018	2	2	Also, thank you Lt. Gen. Levy for highlighting today the issue of 3D printing &amp; data rights. As our contractors develop systems for DOD at the taxpayer’s expense, we must ensure that we are able to negotiate technical data rights to systems that are required to maintain readiness https://t.co/z0R9dRoKR3	AustinScottGA08
Thu Jun 14 15:31:23 +0000 2018	2	2	One of the things that has changed in aeronautics is how we are integrating data and #AI into forecasting repairs and improve the process for conducting maintenance. We must modernize our practices to do more predictive and effective maintenance on our aircraft fleets.	AustinScottGA08
Fri Jun 15 15:10:39 +0000 2018	0	7	"RT @NBCLatino: New bill pushes for an independent commission to investigate federal response to Puerto Rico hurricanes
By @Nicolemarie_A 
w…"	BennieGThompson
Wed Jun 13 16:26:00 +0000 2018	0	32	"RT @RepBeatty: What has @realDonaldTrump accomplished in 500+ days? 
Americans need #ABetterDeal! https://t.co/uShXMzsQzl"	BennieGThompson
Wed Jun 13 13:31:12 +0000 2018	0	352	RT @WhipHoyer: Over 130 MILLION Americans with pre-existing conditions are protected under the ACA. Last week, the Trump Administration ann…	BennieGThompson
Tue Jun 12 20:36:03 +0000 2018	0	16	RT @RepWilson: Tomorrow is Wear Something Red Wednesday, the day on which members of Congress show their support for the #ChibokGirls. We a…	BennieGThompson
Tue Jun 12 19:44:06 +0000 2018	28	23	Fifty-five years ago, Civil Right icon, Medgar Evers, was assassinated in front of his Jackson home. We will never forget. https://t.co/RDKfxsK755	BennieGThompson
Fri Jun 15 15:35:27 +0000 2018	38	11	We should call President Trump’s outrageous family separation policy what it is. A gross human rights violation. Read my full statement here: https://t.co/UpYK5wTA2L	BettyMcCollum04
Thu Jun 14 23:45:00 +0000 2018	96	25	Today I am wishing Muslims in Minnesota and around the world a joyous and blessed Eid al-Fitr. Eid Mubarak! https://t.co/Bi7IzCkw3i	BettyMcCollum04
Thu Jun 14 21:30:00 +0000 2018	11	3	Tonight in the spirit of bipartisanship, Democrats and Republicans will face off in a friendly game of baseball for the time-honored tradition of the Congressional Baseball Game. Good luck to the players on both sides, and go Dems!	BettyMcCollum04
Thu Jun 14 20:05:34 +0000 2018	4	4	@realDonaldTrump @HouseGOP The GOP’s sabotage efforts have come in the form of: the #GOPTaxScam that kicked 13 mil. off of their health insurance, the disruption of https://t.co/yPq2zOAyUi and open enrollment, the intro of short-term “junk” plans, &amp; the continued assault on Medicare and Medicaid.	BettyMcCollum04
Thu Jun 14 20:05:14 +0000 2018	3	4	MN individual &amp; group insurance rates are set to be released tomorrow. We will see the effects of @realDonaldTrump and @HouseGOP sabotage of our healthcare system in the form of higher premiums for Minnesotans.	BettyMcCollum04
Fri Jun 15 15:00:57 +0000 2018	23	12	The passage yesterday of the bipartisan STOP Act which I cosponsored will ensure the Postal Service and our law enforcement partners have the tools they need to keep illegal opioids out of the mail and off of our streets. https://t.co/IcuP5yhz0v	BillPascrell
Fri Jun 15 13:11:48 +0000 2018	132	59	A man who expresses bottomless regard for dictators tells us he wants to be one himself. https://t.co/V8IdWy7NDE	BillPascrell
Fri Jun 15 01:59:12 +0000 2018	10	3	Skipper @USRepMikeDoyle put me in and I preserved a perfect day with a base-on-balls. #CongressionalBaseballGame #CBG18 https://t.co/CyOuxnlV8I	BillPascrell
Fri Jun 15 01:11:17 +0000 2018	18	4	I'd settle to resemble one of my childhood idols, the Old Perfessor Casey Stengel. #CongressionalBaseballGame #CBG18 https://t.co/nE2gOgXGGj	BillPascrell
Fri Jun 15 00:40:08 +0000 2018	35	6	A gorgeous night at Nats Park for the #CongressionalBaseballGame. Inspired to see @SteveScalise on the field. I'm semi retired but doing my part at first base. #letsplaytwo https://t.co/TxsCzqng24	BillPascrell
Thu Jun 14 17:46:17 +0000 2018	12	7	"This is not reflective of American values. 
https://t.co/cKAtQcgBtk"	BobbyScott
Thu Jun 14 15:51:02 +0000 2018	0	11	RT @WhipHoyer: I thank @FrankPallone, @RepRichardNeal, @RepJerryNadler, &amp; @BobbyScott for holding the Trump Administration accountable for…	BobbyScott
Thu Jun 14 14:12:59 +0000 2018	0	6	RT @edworkforcedems: 📺#Watch The DOJ asked a federal court to strike down two of the most popular protections in the ACA. Yesterday, RM @Bo…	BobbyScott
Wed Jun 13 16:15:37 +0000 2018	10	11	Last year, the @HouseGOP voted to rip protections away from millions of Americans with pre-existing conditions. Now, the Trump DOJ is trying to finish what they started. #ProtectOurCare https://t.co/cJcz24Sz38	BobbyScott
Wed Jun 13 16:12:53 +0000 2018	14	5	Joining my Democratic colleagues to push back against the renewed GOP assault on protections for Americans with pre-existing conditions. #ProtectOurCare https://t.co/04lV0XoUL5	BobbyScott
Fri Jun 15 00:23:27 +0000 2018	12	3	"#CongressionalBaseballGame with my staff. A great, bipartisan event that raises thousands of dollars for charity.

Great to see @SteveScalise make the first play of the game! https://t.co/HzvpZ5vqF2"	boblatta
Thu Jun 14 21:01:19 +0000 2018	26	5	While every Member of Congress is celebrating #FlagDay, only one gets to represent #FlagCityUSA. https://t.co/d7QkqAq3Od	boblatta
Thu Jun 14 20:43:18 +0000 2018	1	1	.@bryantimes: Ohio representatives see opioid initiatives move forward https://t.co/YmGedYg4tM #INFOAct	boblatta
Thu Jun 14 20:38:42 +0000 2018	1	1	Happy 243rd birthday to the @USArmy! #GoArmy #ThisWellDefend	boblatta
Thu Jun 14 17:12:33 +0000 2018	10	2	It will be a welcome sight to see @stevescalise out on the field at tonight’s #CongressionalBaseballGame. Go get ‘em Steve! #scalisestrong https://t.co/SCewTDreBL	boblatta
Thu Jun 14 21:42:11 +0000 2018	21	5	Tonight at sunset marks the end of the spiritual month of #Ramadan; a cherished time for family and friends to gather and remember the common values of empathy and harmony that we all hold dear. I wish those who celebrated a very happy Ramadan Kareem.	BradSherman
Wed Jun 13 20:07:45 +0000 2018	19	4	It was an honor to meet a very intelligent group of students from Granada Hills Charter High School (@GHCHS_UPDATES) who were in D.C. being recognized as @SIFMA Capitol Hill Challenge finalists. https://t.co/hM5qToEQB3	BradSherman
Wed Jun 13 15:06:50 +0000 2018	84	29	".@realDonaldTrump tweeting today: There's no longer a nuclear threat from #NorthKorea.

Brad Sherman on the House floor today: If you believe that, you believe he's been faithful to all three of his wives. https://t.co/2fk4ppWAF0"	BradSherman
Wed Jun 13 14:13:56 +0000 2018	25	9	The violence against the #Rohingya in Burma is unconscionable.  Bangladesh has presented evidence to the International Criminal Court regarding the crimes against the Rohingya. #HumanRights are not optional, and every nation has an obligation to ensure justice in this case.	BradSherman
Tue Jun 12 16:02:22 +0000 2018	11	8	"#TrumpKimSummit.  The Iran Deal is like a clunker: it wouldn't serve its purpose for many years.  The #NorthKorea deal is like a picture of a Lamborghini.

Read my statement on the #SingaporeSummit below. https://t.co/etQmCghSCO"	BradSherman
Tue Jun 12 16:19:48 +0000 2018	6	2	Congratulations to Mitch McConnell on becoming the longest serving Majority Leader in Senate history! It is an honor to work alongside him to advance the interests of Kentucky and the nation! He continues to... https://t.co/0wvYuwolPK	brettguthrie
Mon Jun 04 14:26:30 +0000 2018	3	0	Had a great time at the Brass Band Festival last week in Danville! Was wonderful to see so many friends including Ryan Quarles! https://t.co/RfD2ObJwcZ	brettguthrie
Tue May 15 15:10:59 +0000 2018	8	0	Enjoyed being in Owensboro for the BBQ Festival this weekend. Great food and even better people!	brettguthrie
Tue Mar 13 14:39:11 +0000 2018	3	0	Thank you NFIB for endorsing my campaign for re-election! Passing tax reform, reigning in regulations, fixing... https://t.co/TvQw1o7UmE	brettguthrie
Mon Feb 26 15:54:12 +0000 2018	4	0	Agriculture and its impact is so important to the 2nd District. I enjoyed chatting with several people at the... https://t.co/jG6a0o4Y6e	brettguthrie
Fri Jun 15 15:28:01 +0000 2018	2	2	"Leading an effort along w/ @SenatorCardin @ChrisVanHollen @RepSarbanes @RepJohnDelaney to help #Maryland #Crab shacks get the regulatory relief they need to stay open! 
https://t.co/eZ6fWGbehi"	Call_Me_Dutch
Thu Jun 14 21:57:03 +0000 2018	0	7	RT @HouseHomeland: Join us next week on Thursday, June 21st for the second annual, bipartisan Capitol Hill National Security Forum hosted b…	Call_Me_Dutch
Wed Jun 13 19:21:13 +0000 2018	19	7	Got a chance to speak from the heart this morning on an issue that breaks my heart as a father and grandfather. We need common sense #immigration reform, but taking children from their parents is wrong under any circumstance. We have to #KeepFamiliesTogether https://t.co/R0N5P5Khb1	Call_Me_Dutch
Wed Jun 13 16:38:48 +0000 2018	4	2	Working w/ fellow @AppropsDems @HouseAppropsGOP to mark-up bill that funds @DeptofDefense and ensures it has the resources it needs to protect American lives. Big impact on #Maryland + #MD02, home to many #defense agencies, contractors https://t.co/kmQO7cOt3w	Call_Me_Dutch
Wed Jun 13 02:35:43 +0000 2018	8	6	This day marks two years since the #Pulse Night Club shooting. The loved ones of the many victims stay in our thoughts and prayers, but we also need to #HonorThemWithAction to end senseless #gunviolence https://t.co/gHnQbItiYt	Call_Me_Dutch
Fri Jun 15 17:15:00 +0000 2018	7	3	The #ABLE act has transformed our expectations for people with disabilities to match the goals they set for themselves. https://t.co/DQMN77yLm0	cathymcmorris
Fri Jun 15 15:13:00 +0000 2018	8	4	"We’re committed to combating the #opioidcrisis and that can only be done through…
✓ Treatment and recovery
✓ Prevention
✓ Protecting communities
✓ Fighting fentanyl
https://t.co/XRbtco6CDQ https://t.co/mlkQWFFi1k"	cathymcmorris
Fri Jun 15 13:25:00 +0000 2018	12	2	"We’re continuing on our mission to combat this horrific crisis so another mother, father,
sister, brother, or friend won’t have to endure this heartache. https://t.co/XRbtcnP1fg"	cathymcmorris
Fri Jun 15 00:21:19 +0000 2018	152	32	What a moment! So inspired by your strength, @SteveScalise. #TeamScalise. #CBG18 https://t.co/G7Ens6iKjF	cathymcmorris
Thu Jun 14 21:22:00 +0000 2018	2	1	The #opioidcrisis has been wreaking havoc on communities for far too long. Check out what @HouseGOP is doing to combat this horrible crisis → https://t.co/XRbtco6CDQ	cathymcmorris
Fri Jun 15 12:38:22 +0000 2018	10	3	Eid Mubarak! Best wishes to all those celebrating Eid al-Fitr! https://t.co/AM7f7NyW8C	chelliepingree
Thu Jun 14 19:18:37 +0000 2018	55	18	"Today I cosponsored the House version of the Keep Families Together Act, a companion bill to @SenFeinstein’s legislation because #FamiliesBelongTogether. #mepolitics 

My full statement: https://t.co/mpYFgPt8u8"	chelliepingree
Thu Jun 14 18:04:34 +0000 2018	45	8	Thank you for introducing this bill in the Senate, @SenFeinstein. I am an original cosponsor of the Keep Families Together Act in the House because #FamiliesBelongTogether. #mepolitics https://t.co/L1y0YLz5sG	chelliepingree
Thu Jun 14 16:57:16 +0000 2018	166	51	VIDEO: I’ve cosponsored legislation to stop the Trump Administration’s insidious practice of separating children from their parents. I ask the Republican majority to end its complicity and let us vote on H.R. 5950, the HELP Separated Children Act. #mepolitics https://t.co/ueQ9syiuKL	chelliepingree
Wed Jun 13 19:38:23 +0000 2018	2	0	Are these organic @hagstromreport? https://t.co/9w273xAW5z	chelliepingree
