date	likes	retweets	text	username	filtered_text	labels	x	y	vader_polarity
Wed May 23 01:02:19 +0000 2018	11	6	Let’s bring it home in November! https://t.co/2a41xsFl5k	AnthonyBrownMD4	let bring it home in november	9	8.317276954650879	3.64794659614563	0.0
Thu May 03 17:37:04 +0000 2018	2	1	@KFILE I've had the privilege of serving w some of the most patriotic men &amp; women whose commitment to our country is above partisanship. @KevinMNicholson's statement is politics at its worst. #WISen	AnthonyBrownMD4	kfile ive have the privilege of serve w some of the most patriotic men woman whose commitment to our country be above paisanship kevinmnicholsons statement be politics at its bad wisen	9	15.71863842010498	-5.317371845245361	0.1531
Sat Apr 14 12:29:37 +0000 2018	10	3	Mission Accomplished?  Not so easy Mr. President.  Your mission is incomplete, until you develop a long-term strategy and come to Congress for the authority to use whatever force you need to implement that strategy! https://t.co/UL77Y6V91Y	AnthonyBrownMD4	mission accomplish not so easy mr president your mission be incomplete until you develop a longterm strategy and come to congress for the authority to use whatever force you need to implement that strategy	5	-20.378267288208008	5.059561252593994	0.1223
Sat Mar 31 01:23:24 +0000 2018	16	6	Sound very Trumpesque. Seems like @GovLarryHogan is picking up the @realDonaldTrump playbook. Cryptic language intended to scare voters. You can do better than that Mr. Governor. https://t.co/mdfiwUMmCn	AnthonyBrownMD4	sound very trumpesque seem like govlarryhogan be pick up the realdonaldtrump playbook cryptic language intend to scare voter you can do good than that mr governor	5	-19.360435485839844	5.219576358795166	0.3535
Fri Jun 15 17:38:43 +0000 2018	0	1	Yesterday I introduced the Commodity Futures Trading Commission Research &amp; Development Modernization Act (H.R.6121) to better equip @CFTC w/ the tools it needs to maintain fairness &amp; transparency in our commodity trading markets in the 21st century . More: https://t.co/SjBY5Kpie9	AustinScottGA08	yesterday i introduce the commodity future trade commission research development modernization act hr to good equip cftc w the tool it need to maintain fairness transparency in our commodity trading market in the st century more	2	-33.268264770507805	-24.341264724731445	0.4404
Fri Jun 15 13:13:12 +0000 2018	0	5	RT @AustinScottGA08: We've launched the #GA08 2018 Congressional App Challenge. All eligible middle and high school students are encouraged…	AustinScottGA08	austinscottga weve launch the ga congressional app challenge all eligible middle and high school student be encourage	7	20.32996940612793	15.538681030273438	0.5574
Thu Jun 14 17:50:54 +0000 2018	0	2776	RT @WhiteHouse: Happy birthday, United States Army, and thank you to the brave men and women who serve our country. https://t.co/Q83RHqqzTg	AustinScottGA08	whitehouse happy bihday united state army and thank you to the brave men and woman who serve our country	9	16.77444839477539	-7.297745227813722	0.9081
Thu Jun 14 15:31:23 +0000 2018	2	2	Also, thank you Lt. Gen. Levy for highlighting today the issue of 3D printing &amp; data rights. As our contractors develop systems for DOD at the taxpayer’s expense, we must ensure that we are able to negotiate technical data rights to systems that are required to maintain readiness https://t.co/z0R9dRoKR3	AustinScottGA08	also thank you lt gen levy for highlight today the issue of d printing data right as our contractor develop system for dod at the taxpayer expense we must ensure that we be able to negotiate technical data right to system that be require to maintain readiness	7	19.467161178588867	16.489107131958008	0.8176
Thu Jun 14 15:31:23 +0000 2018	2	2	One of the things that has changed in aeronautics is how we are integrating data and #AI into forecasting repairs and improve the process for conducting maintenance. We must modernize our practices to do more predictive and effective maintenance on our aircraft fleets.	AustinScottGA08	one of the thing that have change in aeronautics be how we be integrate data and ai into forecast repair and improve the process for conduct maintenance we must modernize our practice to do more predictive and effective maintenance on our aircraft fleet	1	-9.746944427490234	30.58626365661621	0.7402
Fri Jun 15 15:10:39 +0000 2018	0	7	"RT @NBCLatino: New bill pushes for an independent commission to investigate federal response to Puerto Rico hurricanes
By @Nicolemarie_A 
w…"	BennieGThompson	nbclatino new bill push for an independent commission to investigate federal response to pueo rico hurricanesby nicolemarie_a w	4	-1.611327886581421	-4.8190956115722665	0.0
