	date	likes	retweets	text
0	Wed Apr 04 23:50:53 +0000 2018	0	0	@realDonaldTrump it looks like @FoxNews is directing foreign policy! There is no “army” “caravan” of immagtants com… https://t.co/tWDZgVMVgY
1	Wed Apr 04 23:50:57 +0000 2018	0	0	Wrong!!! GW Bush and Obama both put NG on the border. This is NOT new. #MAGA democrats do not want people pouring i… https://t.co/aYydbAPwt8
2	Wed Apr 04 23:50:57 +0000 2018	0	0	RT @WarDamnGunners: @SenFeinstein Yes, DACA is encouraging it. It's soft amnesty and the more precendents you (the Gov) allow to be set by…
3	Wed Apr 04 23:50:58 +0000 2018	0	0	"RT @FoxNews: .@PressSec on DACA: ""You should be asking Senate Democrats and members of the House...why they aren't willing to actually fix…"
4	Wed Apr 04 23:51:02 +0000 2018	0	0	"RT @KatTheHammer1: ""We need to fix our borders, not DACA."" 

 ~@michellemalkin  
~@PoliticalShort 

https://t.co/QaKz7IkapH... https://t.co…"
5	Wed Apr 04 23:51:03 +0000 2018	0	0	RT @redstatetalk: #Trump is burning up the Democrats’ open border, DACA, illegal voter, import voter playbook. Phase2 will be to get as man…
6	Wed Apr 04 23:51:13 +0000 2018	0	0	"RT @FoxNews: .@PressSec on DACA: ""You should be asking Senate Democrats and members of the House...why they aren't willing to actually fix…"
7	Wed Apr 04 23:51:15 +0000 2018	0	0	"RT @ananavarro: 1. Muslim Ban
2. Equating Neo-nazis w/those protesting against them
3. Whole response to Charlottesville
4. Pardoning racis…"
8	Wed Apr 04 23:51:17 +0000 2018	0	0	"@CBSEveningNews CLICK PIC, Below:
Govt. immigration efforts reach the point of an organized internment of DACA Drea… https://t.co/Vrn54aOh1N"
9	Wed Apr 04 23:51:19 +0000 2018	0	0	"RT @JulianAssannge: @realDonaldTrump #MAGA Checklist 

#TPP ✔️

#DACA✔️

#Tarriffs ✔️

#TaxCuts ✔️

#Gorsuch ✔️

#TravelBan ✔️

#RollBacks…"
10	Wed Apr 04 23:51:20 +0000 2018	0	0	"RT @HappyPreppers: @SenFeinstein 11 years is enough of DACA! It's cost us $110,880,000,000 in education so far.
800,000 DACA kids x $12,600…"
11	Wed Apr 04 23:51:23 +0000 2018	0	0	Yes ma’am, seal the border and deport all illegals to include DACA https://t.co/9N9mHYG9ZL
12	Wed Apr 04 23:51:30 +0000 2018	0	0	RT @HappyPreppers: @SenFeinstein It costs the U.S. $12,600 in public education costs annually to educate those DACA kids. That's 800,000 DA…
13	Wed Apr 04 23:51:31 +0000 2018	0	0	RT @LewisWilson43: @Michaelcraddo16 @WSCP1 @medit8now @Sam27873687 @PortugueseMamaC @ashman_andrew @MelindaThinker @abytw @BenFeminzai3 @Tr…
14	Wed Apr 04 23:51:32 +0000 2018	0	0	@RavenHawk4 Your an idiot if the dems cared about DACA they would have jumped on the deal nut all they care about i… https://t.co/wVOhIKfDXY
15	Wed Apr 04 23:51:33 +0000 2018	0	0	"RT @RepSwalwell: Here’s the real on #DACA...

So far, @realDonaldTrump has only had to make imaginary decisions, “you bring the bill and I’…"
16	Wed Apr 04 23:51:37 +0000 2018	0	0	RT @RyanAFournier: No DACA , at the least, until our homeless veterans are not homeless and our own children are not homeless or hungry. Am…
17	Wed Apr 04 23:51:40 +0000 2018	0	0	@NikkiGlaser Your DACA dreamers and Middle East “refugees” think 5 kids is pretty typical.
18	Wed Apr 04 23:51:47 +0000 2018	0	0	"@dragginflyy @DarrenDillon13 @AnnCoulter @realDonaldTrump LOL

Only 49% of DACA beneficiaries have a high school ed… https://t.co/CmlGEO28nd"
19	Wed Apr 04 23:51:47 +0000 2018	0	0	"@11thHour CLICK PIC, Below:
Govt. immigration efforts reach the point of an organized internment of DACA Dreamers!… https://t.co/5s6f0du5Mz"
