	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	date	likes	retweets	text	filtered_text	polarity	subjectivity
0	0	0	0	0	0	0	0	0	0	Tue Apr 10 20:02:14 +0000 2018	0	0	RT @dianacoromines: Open letter from Danish MPs to Spanish govt: stop jailing democratically elected politicians &amp; grass-root leaders, resp…	dianacoromines open letter from danish mps to spanish govt stop jail democratically elect politicians amp grassroot leaders resp	0.17500000000000002	0.35
1	1	1	1	1	1	1	1	1	1	Tue Apr 10 20:02:14 +0000 2018	0	0	rt🔒I’ll be on zoloft till the day i die. Just like a type 1 diabetic will be on insulin for life. Suck my ovaries N… https://t.co/XrAMubzeEW	rtill be on zoloft till the day i die just like a type 1 diabetic will be on insulin for life suck my ovaries n	0.0	0.0
2	2	2	2	2	2	2	2	2	2	Tue Apr 10 20:02:15 +0000 2018	0	0	Rights holders need to work with brands on digital activations for authenticity.  #IEG2018	rights holders need to work with brand on digital activations for authenticity ieg2018	0.0	0.0
3	3	3	3	3	3	3	3	3	3	Tue Apr 10 20:02:15 +0000 2018	0	0	RT @CHN_AdamWodon: Right-wing talk show hosts attacking the teenage victims of Parkland for speaking out on guns, would be like attacking t…	chn_adamwodon rightwing talk show host attack the teenage victims of parkland for speak out on gun would be like attack t	0.0	0.0
4	4	4	4	4	4	4	4	4	4	Tue Apr 10 20:02:15 +0000 2018	0	0	"#NowPlaying Jeremih - Cards Right (Clean) 
***WE DON'T OWN RIGHTS TO MUSIC PLAYED*** 
**Website/Instant Requests**… https://t.co/EtDxHhcN23"	nowplaying jeremih cards right clean we dont own rights to music played websiteinstant requests	0.4174603174603175	0.7452380952380953
5	5	5	5	5	5	5	5	5	5	Tue Apr 10 20:02:16 +0000 2018	0	0	"RT @LilaGraceRose: As outrageous as it seems, @womensmarch support of sex trafficking website #Backpage shouldn’t surprise us. 

Planned Pa…"	lilagracerose as outrageous as it seem womensmarch support of sex traffic website backpage shouldnt surprise us planned pa	-1.0	1.0
6	6	6	6	6	6	6	6	6	6	Tue Apr 10 20:02:16 +0000 2018	0	0	RT @SiphamandlaGoge: #ANCKZN Bodyguards allegedly belonging to some mayors and MEC(s) had guns drawn on party members at the ANC Moses Mabh…	siphamandlagoge anckzn bodyguards allegedly belong to some mayors and mecs have gun draw on party members at the anc moses mabh	-0.1	0.1
7	7	7	7	7	7	7	7	7	7	Tue Apr 10 20:02:16 +0000 2018	0	0	Corporate accountability to protect labor rights is the right thing to do. Yes! @KerryKennedyRFK #RanaPlaza	corporate accountability to protect labor right be the right thing to do yes kerrykennedyrfk ranaplaza	0.19047619047619047	0.35714285714285715
8	8	8	8	8	8	8	8	8	8	Tue Apr 10 20:02:16 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
9	9	9	9	9	9	9	9	9	9	Tue Apr 10 20:02:16 +0000 2018	0	0	@NSFMill @SKOLBLUE1 @magathemaga1 @TeamGreitens @EricGreitens @DailyCaller @MissouriGOP @MOHouseGOP @gocrazy4cards… https://t.co/ub6MoF5xzA	nsfmill skolblue1 magathemaga1 teamgreitens ericgreitens dailycaller missourigop mohousegop gocrazy4cards	0.0	0.0
