	date	likes	retweets	text
0	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @johncardillo: Obama and the Dems had the WH, House, and Senate, yet never gave the left gun control. 

Their base didn’t abandon them.…"
1	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @ananavarro: “Bone-Spur Donny” just banned transgender Americans who want to volunteer to do what he was not willing to do- risk their l…
2	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @JoyAnnReid: Why is Trump trying to pretend that he and the Republicans are on the side of DACA recipients? TRUMP ENDED DACA... This is…
3	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @SethAbramson: 37/ Yesterday's big news from the New York Times is of course part of all this, as it underscores that Trump's clandestin…
4	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @MSNBC: BREAKING: President Trump issues order to ban most transgender troops from military service https://t.co/dcmgn397Wi
5	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @StephenAtHome: Hey @realdonaldtrump I thought you said you'd run TOWARD the kids, not away from them! https://t.co/7hdX2MxX3b
6	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @BMW45ACP: He's got some discharge papers to sign on the way out before 2020 because he's not going to be re-elected @POTUS caved into t…
7	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @NBCNews: BREAKING: President Trump issues order to ban most transgender troops from military service. https://t.co/TygQEREW2F
8	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @C_Stroop: Can anyone shed some light on this? I thought the courts had decided the issue. What’s the significance of this new memo? #Em…
9	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @EdKrassen: This is Jim Carey’s latest masterpiece and it’s glorious! 

Donald Trump &amp; Stormy Daniels. https://t.co/JQJyDxXXU8"
10	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @TheDailyEdge: Since Day One, Trump has systematically tried to reverse everything good he inherited from Obama.

This week, he got to t…"
11	Sat Mar 24 01:50:30 +0000 2018	0	0	President Trump, release the rest of the documents on the Kennedy Assassination.  The government believes that we t… https://t.co/HePpAFCFg2
12	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @IngrahamAngle: China started the trade war, Not Donald Trump  https://t.co/juSK9OAPui via @WSJ
13	Sat Mar 24 01:50:30 +0000 2018	0	0	You may think that Trump lost the battle today, but there will be no mistaken of his winning the war.😇😇😊😀 https://t.co/9qY4EXf28B
14	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @C_Stroop: Can anyone shed some light on this? I thought the courts had decided the issue. What’s the significance of this new memo? #Em…
15	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @RepTedDeutch: Trump has outdone himself by selecting Bolton. In one appointment, he simultaneously increased the influence of the NRA i…
16	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @ACLU: BREAKING: The Department of Defense announced its plan tonight to implement President Trump’s directive to ban transgender servic…
17	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @paulkrugman: Greg is right about how terrifying Bolton's appointment is -- he won't just confirm Trump's impulses, he'll exploit them t…
18	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @DisavowTrump16: Ruth Bader Ginsburg has hired her law clerks through 2020 and is ready to #Resist Trump until he is gone!

RETWEET if y…"
19	Sat Mar 24 01:50:30 +0000 2018	0	0	And $1.6t for our debt. Don't blame the military. Who asked them if they agreed to give earmarks and freebies to th… https://t.co/UqKBYf65E9
20	Sat Mar 24 01:50:30 +0000 2018	0	0	RT @BarstoolNewsN: FIRST ROUND: Who was the better President? Retweet for Donald J. Trump. Favorite for George W. Bush. https://t.co/qiUrJn…
21	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @Golfinggary5221: PERFECTLY SAID @IWillRedPillU! 
POTUS Signs Omnibus - Frustrations Aside, #Trump Supporters Must Now Unite to #DrainTh…"
22	Sat Mar 24 01:50:30 +0000 2018	0	0	"RT @DFBHarvard: Trump Just can't get any respect from MSM! 

The Crap CNN &amp; MSNBC is pumping out about the President past private relations…"
