	date	likes	retweets	text
0	Fri Mar 02 19:48:19 +0000 2018	57259	12010	REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2
1	Fri Mar 02 13:57:22 +0000 2018	82007	21226	When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN
2	Fri Mar 02 13:01:58 +0000 2018	71264	15668	We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!
3	Fri Mar 02 11:18:28 +0000 2018	39408	8824	Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy
4	Fri Mar 02 11:07:40 +0000 2018	107261	22754	Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ
5	Fri Mar 02 10:50:34 +0000 2018	71685	17205	When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP
6	Fri Mar 02 03:04:51 +0000 2018	77373	15143	Good (Great) meeting in the Oval Office tonight with the NRA!
7	Fri Mar 02 02:59:37 +0000 2018	0	4895	RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our…
8	Fri Mar 02 02:58:35 +0000 2018	0	8335	RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR
9	Fri Mar 02 00:52:43 +0000 2018	63827	12710	Manufacturing growing at the fastest pace in almost two decades!
10	Fri Mar 02 00:51:28 +0000 2018	63766	12961	Jobless claims at a 49 year low!
11	Thu Mar 01 21:31:32 +0000 2018	43011	10079	Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj
12	Thu Mar 01 20:40:52 +0000 2018	39340	9235	“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx
13	Thu Mar 01 18:26:55 +0000 2018	40973	9915	“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml
14	Thu Mar 01 18:06:30 +0000 2018	51556	13419	Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW
15	Thu Mar 01 12:12:42 +0000 2018	94501	21155	Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs
16	Thu Mar 01 11:53:58 +0000 2018	73070	16437	Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3
17	Wed Feb 28 21:34:16 +0000 2018	49728	11179	It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc
18	Wed Feb 28 19:01:34 +0000 2018	68586	16667	"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ"
19	Wed Feb 28 18:36:53 +0000 2018	61850	13628	Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf
20	Wed Feb 28 17:10:22 +0000 2018	70626	16957	Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam
21	Wed Feb 28 14:34:37 +0000 2018	86212	24743	Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g
22	Wed Feb 28 14:08:21 +0000 2018	107046	20315	45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS
23	Wed Feb 28 12:29:56 +0000 2018	96908	21593	I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za
24	Wed Feb 28 12:02:58 +0000 2018	90609	22769	The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd
25	Wed Feb 28 04:28:31 +0000 2018	97627	23185	Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA
26	Wed Feb 28 04:20:43 +0000 2018	68451	16466	Such a beautiful map, thank you! https://t.co/FyQdgKvsRO
27	Tue Feb 27 22:58:19 +0000 2018	48329	11849	.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F
28	Tue Feb 27 22:55:36 +0000 2018	62814	15084	Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe
29	Tue Feb 27 18:18:22 +0000 2018	55666	13216	“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc
30	Tue Feb 27 18:11:19 +0000 2018	102102	28077	I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8
31	Tue Feb 27 12:49:41 +0000 2018	92117	23936	WITCH HUNT!
32	Tue Feb 27 12:45:58 +0000 2018	90737	23252	“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh
33	Tue Feb 27 12:28:59 +0000 2018	63751	14619	“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN
34	Tue Feb 27 11:59:30 +0000 2018	67494	19372	“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP
35	Sun Feb 25 19:43:34 +0000 2018	0	13774	RT @WhiteHouse: Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federa…
36	Sun Feb 25 03:56:04 +0000 2018	0	7489	RT @VollrathTammie: @realDonaldTrump @FoxNews https://t.co/sERi7Vyh5I
37	Sun Feb 25 03:11:28 +0000 2018	0	14605	"RT @FoxNews: President @realDonaldTrump on Dem FISA memo: ""A lot of bad things happened on the other side, not on this side, but the other…"
38	Sun Feb 25 03:10:28 +0000 2018	0	13421	"RT @FoxNews: President @realDonaldTrump on DACA: ""I'm the one that's pushing DACA and the Democrats are nowhere to be found."" https://t.co/…"
39	Sun Feb 25 01:00:46 +0000 2018	49291	8614	I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!
40	Sun Feb 25 00:56:35 +0000 2018	76324	19531	“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!
41	Sat Feb 24 23:44:11 +0000 2018	73268	19400	“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar
42	Sat Feb 24 23:20:06 +0000 2018	79504	21813	Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!
43	Sat Feb 24 23:16:13 +0000 2018	82205	20826	The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh
44	Sat Feb 24 22:26:15 +0000 2018	98886	25446	BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4
45	Sat Feb 24 21:18:01 +0000 2018	93295	22448	Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE
46	Sat Feb 24 21:07:43 +0000 2018	73809	15995	Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ
47	Sat Feb 24 20:16:32 +0000 2018	79595	22592	Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM
48	Sat Feb 24 18:54:14 +0000 2018	85385	20857	Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh
49	Sat Feb 24 13:23:37 +0000 2018	0	37229	RT @realDonaldTrump: I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end…
50	Sat Feb 24 13:21:02 +0000 2018	80728	20445	So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm
51	Fri Feb 23 22:46:47 +0000 2018	86496	15540	Thank you to the great men and women of the United States @SecretService for a job well done!
52	Fri Feb 23 21:19:37 +0000 2018	46926	8923	Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba
53	Fri Feb 23 17:12:40 +0000 2018	85122	20738	Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r
54	Fri Feb 23 17:08:42 +0000 2018	72757	16734	We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29
55	Fri Feb 23 17:06:36 +0000 2018	68952	15947	After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D
56	Fri Feb 23 13:09:54 +0000 2018	97401	24726	For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!
57	Fri Feb 23 13:07:07 +0000 2018	98097	14475	My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.
58	Fri Feb 23 13:01:09 +0000 2018	46652	7822	CPAC Today!
59	Fri Feb 23 11:28:35 +0000 2018	124980	28288	MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k
