	Unnamed: 0	date	likes	retweets	text	filtered_text	sentiment
0	0	Tue Feb 13 10:52:47 +0000 2018	46310	10743	Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R	Negotiations on DACA have begun Republicans want to make a deal and Democrats say they want to make a deal Wouldn 	Sentiment(polarity=0.0, subjectivity=0.0)
1	1	Tue Feb 13 10:43:22 +0000 2018	53379	12181	Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN	Our infrastructure plan has been put forward and has received great reviews by everyone except of course the Demo 	Sentiment(polarity=0.8, subjectivity=0.75)
2	2	Mon Feb 12 20:48:16 +0000 2018	54162	11892	The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE	The journey to MAGA began CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l 	Sentiment(polarity=0.0, subjectivity=0.0)
3	3	Mon Feb 12 12:54:32 +0000 2018	76020	15201	Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi	Thank you to Sue Kruczek who lost her wonderful and talented son Nick to the Opioid scourge for your kind words w 	Sentiment(polarity=0.7666666666666666, subjectivity=0.9333333333333332)
4	4	Mon Feb 12 12:46:56 +0000 2018	121658	27395	This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er	This will be a big week for Infrastructure After so stupidly spending 7 trillion in the Middle East it is now ti 	Sentiment(polarity=-0.26666666666666666, subjectivity=0.3666666666666667)
5	5	Sun Feb 11 20:36:08 +0000 2018	71073	14064	Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI	Just spoke to JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o 	Sentiment(polarity=-0.09999999999999998, subjectivity=0.875)
6	6	Sun Feb 11 20:26:03 +0000 2018	90239	22867	Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU	Rep Lou Barletta a Great Republican from Pennsylvania who was one of my very earliest supporters will make a FAN 	Sentiment(polarity=0.5, subjectivity=0.525)
7	7	Sun Feb 11 19:15:32 +0000 2018	116106	23775	4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently… https://t.co/oJl5AiCPZs	42 million hard working Americans have already received a large Bonus andor Pay Increase because of our recently 	Sentiment(polarity=-0.025793650793650803, subjectivity=0.4067460317460317)
8	8	Sun Feb 11 18:21:48 +0000 2018	116629	29706	So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negativ… https://t.co/LBnzRfAkJx	So many positive things going on for the USA and the Fake News Media just doesnt want to go there Same negativ 	Sentiment(polarity=0.05681818181818182, subjectivity=0.5426136363636364)
9	9	Sat Feb 10 23:34:08 +0000 2018	113347	30945	My Administration has identified three major priorities for creating a safe, modern and lawful immigration system:… https://t.co/DrjXUak41S	My Administration has identified three major priorities for creating a safe modern and lawful immigration system 	Sentiment(polarity=0.190625, subjectivity=0.325)
